Country Name,region,Image URL,1995,1995.1,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Panama,155,,345,345,362,421,431,457,484,519,534,566,621,702,843,"1,103,000","1,247,000","1,200,000","1,324,000","1,473,000","1,606,000","1,658,000","1,745,000","2,110,000","1,921,000","1,843,000"
Peru,156,,479,479,584,649,726,694,800,901,"1,064,000","1,136,000","1,350,000","1,571,000","1,721,000","1,916,000","2,058,000","2,140,000","2,299,000","2,598,000","2,846,000","3,164,000","3,215,000","3,456,000","3,744,000","4,032,000"
Philippines,157,,"1,760,000","1,760,000","2,049,000","2,223,000","2,149,000","2,171,000","1,992,000","1,797,000","1,933,000","1,907,000","2,291,000","2,623,000","2,843,000","3,092,000","3,139,000","3,017,000","3,520,000","3,917,000","4,273,000","4,681,000","4,833,000","5,361,000","5,967,000","6,621,000"
Palau,158,,53,53,69,74,64,55,58,54,59,63,89,81,82,88,81,71,85,111,120,108,140,162,138,123
Papua New Guinea,159,,42,42,61,66,67,67,58,54,54,56,59,69,78,104,114,121,140,158,168,174,182,185,179,
Poland,160,https://www.countryflags.io/pl/flat/64.png,"19,215,000","19,215,000","19,410,000","19,520,000","18,780,000","17,950,000","17,400,000","15,000,000","13,980,000","13,720,000","14,290,000","15,200,000","15,670,000","14,975,000","12,960,000","11,890,000","12,470,000","13,350,000","14,840,000","15,800,000","16,000,000","16,728,000","17,471,000","18,258,000"
Puerto Rico,161,,"3,131,000","3,131,000","3,065,000","3,242,000","3,396,000","3,024,000","3,341,000","3,551,000","3,087,000","3,238,000","3,541,000","3,686,000","3,722,000","3,687,000","3,716,000","3,183,000","3,186,000","3,048,000","3,069,000","3,172,000","3,246,000","3,542,000","3,736,000","3,797,000"
"Korea, Dem. People’s Rep.",162,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,163,https://www.countryflags.io/pt/flat/64.png,"4,572,000","4,572,000","4,567,000","4,798,000","5,539,000","5,379,000","5,599,000","5,392,000","5,560,000","5,383,000","5,654,000","5,769,000","6,349,000","6,788,000","6,962,000","6,439,000","6,756,000","7,264,000","7,503,000","9,177,000","10,497,000","11,723,000","13,359,000","15,432,000"
Paraguay,164,,438,438,426,395,350,269,289,279,250,268,309,341,388,416,428,439,465,524,579,610,649,"1,215,000","1,308,000","1,584,000"
West Bank and Gaza,165,,,,220,210,200,300,310,43,33,37,56,88,123,264,387,396,522,449,490,545,556,432,400,503
Pacific island small states,166,,"544,156","544,156","587,558","613,46","627,104","668,066","572,454","609,766","672,527","717,545","835,378","878,774","893,942","923,978","982,543","962,452","1,064,313","1,121,471","1,140,558","1,124,520","1,184,836","1,259,768","1,290,303","1,360,729"
French Polynesia,167,,172,172,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199
Qatar,168,,309,309,327,333,320,357,378,376,587,557,732,913,946,964,"1,405,000","1,481,600","1,699,500","2,056,700","2,323,500","2,611,900","2,839,200","2,941,100","2,938,200","2,256,500"
Romania,169,,"5,445,000","5,445,000","5,205,000","5,149,000","4,831,000","5,224,000","5,264,000","4,938,000","4,794,000","5,595,000","6,600,000","5,839,000","6,037,000","7,722,000","8,862,000","7,575,000","7,498,000","7,611,000","7,937,000","8,019,000","8,442,000","9,331,000","10,223,000","10,926,000"
Russia,170,https://www.countryflags.io/ru/flat/64.png,"10,290,000","10,290,000","16,208,000","17,463,000","16,188,000","18,820,000","21,169,000","21,595,000","23,309,000","22,521,000","22,064,000","22,201,000","22,486,000","22,909,000","23,676,000","21,339,000","22,281,000","24,932,000","28,177,000","30,792,000","32,421,000","33,729,000","24,571,000","24,390,000"
Rwanda,171,,,,,,,,104,113,,,,,494,566,507,502,504,688,815,864,926,987,932,
Saudi Arabia,173,https://www.countryflags.io/sa/flat/64.png,"3,325,000","3,325,000",,,,,"6,585,000","6,727,000","7,511,000","7,332,000","8,599,000","8,037,000","8,620,000","11,531,000","14,757,000","10,897,000","10,850,000","14,179,000","16,332,000","15,772,000","18,260,000","17,994,000","18,044,000","16,109,000"
Sudan,174,,29,29,38,30,36,39,38,50,52,52,61,246,328,436,440,420,495,536,575,591,684,741,800,813
Senegal,175,,280,280,282,314,352,369,389,396,427,354,363,769,866,875,867,810,900,968,962,"1,063,000",963,"1,006,600","1,210,000","1,365,000"
Singapore,176,https://www.countryflags.io/sg/flat/64.png,"6,070,000","6,070,000","6,048,000","5,894,000","5,122,000","5,604,000","6,062,000","5,857,000","5,855,000","4,703,000","6,553,000","7,079,000","7,588,000","7,957,000","7,778,000","7,488,000","9,161,000","10,390,000","11,098,000","11,899,000","11,864,000","12,051,000","12,914,000","13,903,000"
Solomon Islands,177,,"11,8","11,8","10,3","13,8","15,8",,"5,2",,,"6,6","5,6","9,4","11,5","13,7","16,3","18,3","20,5","22,9","23,9","24,4","20,1","21,6","23,2","25,7"
Sierra Leone,178,,"13,8","13,8","21,9","7,5","12,9","10,6","15,8","24,1","28,4","38,1","43,6",40,"33,7","32,2",36,37,39,52,60,81,44,24,55,
El Salvador,179,,235,235,283,387,542,658,795,735,798,720,951,"1,127,000","1,279,000","1,339,000","1,385,000","1,091,000","1,150,000","1,184,000","1,255,000","1,283,000","1,345,000","1,402,000","1,434,000","1,556,000"
San Marino,180,,28,28,30,28,36,34,43,49,46,41,42,50,50,69,115,151,120,156,139,71,75,54,60,78
Somalia,181,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,182,,,,,,,,,,312,339,392,453,469,696,646,645,683,764,810,922,"1,029,000","1,132,000","1,281,000","1,497,000"
South Sudan,183,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,185,,"6,2","6,2","6,4","4,8","5,6","5,8","7,1","7,5","9,2",10,"10,6","15,8","12,3","11,8","14,5","15,2",8,"12,2",,,,"25,6",29,
Suriname,186,,43,43,53,61,55,57,57,54,60,82,138,161,154,167,151,151,205,220,240,249,252,228,256,278
Slovak Republic,187,,903,903,951,814,896,975,"1,053,000","1,219,000","1,399,000","1,387,000","1,401,000","1,515,000","1,612,000","1,685,000","1,767,000","1,298,000","1,327,000","1,460,000","1,528,000","1,670,000","1,475,000","1,721,000","2,027,000","2,162,000"
Slovenia,188,,732,732,832,974,977,884,"1,090,000","1,219,000","1,302,000","1,373,000","1,499,000","1,555,000","1,617,000","1,751,000","1,958,000","1,824,000","1,869,000","2,037,000","2,156,000","2,259,000","2,411,000","2,707,000","3,032,000","3,586,000"
